id;catalogNumber;recordedBy;eventdate;higherGeography;eventRemarks;preparations
425;MPEG.ANL 000465;"Beckman, Ruana; Pena, José; Souza, Raíssa";24/01/2018;Pará, Belém;;Etanol - 2
426;MPEG.ANL 000479;"Beckman, Ruana; Pena, José; Souza, Raíssa";23/01/2018;Pará, Belém;;Etanol - 2
427;MPEG.ANL 000547;Cherniski, D.;11/01/2018;Pará, Marabá;;EtOH - 76
428;MPEG.ANL 000475;"Beckman, Ruana; Pena, José; Souza, Raíssa";21/11/2017;Pará, Belém;;Etanol - 6
429;MPEG.ANL 000567;Cherniski, D.;18/01/2018;Pará, Baião;;EtOH - 1
430;MPEG.ANL 000453;"Beckman, Ruana; Pena, José; Souza, Raíssa";22/01/2018;Pará, Belém;;Etanol - 4
431;MPEG.ANL 000468;"Beckman, Ruana; Pena, José; Souza, Raíssa";29/08/2017;Pará, Belém;;Etanol - 7
432;MPEG.ANL 000463;"Beckman, Ruana; Pena, José; Souza, Raíssa";21/08/2017;Pará, Belém;;Etanol - 6
433;MPEG.ANL 000418;"Beckman, Ruana; Pena, José; Souza, Raíssa";31/08/2017;Pará, Belém;;Etanol - 2
434;MPEG.ANL 000467;"Beckman, Ruana; Pena, José; Souza, Raíssa";22/02/2018;Pará, Belém;;Etanol - 45
435;MPEG.ANL 000497;"Beckman, Ruana; Pena, José; Souza, Raíssa";22/01/2018;Pará, Belém;;Etanol - 4
436;MPEG.ANL 000428;"Beckman, Ruana; Pena, José; Souza, Raíssa";03/10/2017;Pará, Belém;;Etanol - 16
437;MPEG.ANL 000464;"Beckman, Ruana; Pena, José; Souza, Raíssa";23/12/2017;Pará, Belém;;Etanol - 1
438;MPEG.ANL 000494;"Beckman, Ruana; Pena, José; Souza, Raíssa";23/01/2018;Pará, Belém;;Etanol - 6
439;MPEG.ANL 000444;"Beckman, Ruana; Pena, José; Souza, Raíssa";20/02/2018;Pará, Belém;;Etanol - 4
440;MPEG.ANL 000459;"Beckman, Ruana; Pena, José; Souza, Raíssa";01/09/2017;Pará, Belém;;Etanol - 3
441;MPEG.ANL 000469;"Beckman, Ruana; Pena, José; Souza, Raíssa";22/01/2018;Pará, Belém;;Etanol - 19
442;MPEG.ANL 000460;"Beckman, Ruana; Pena, José; Souza, Raíssa";29/08/2017;Pará, Belém;;Etanol - 3
443;MPEG.ANL 000447;"Beckman, Ruana; Pena, José; Souza, Raíssa";23/01/2018;Pará, Belém;;Etanol - 1
444;MPEG.ANL 000525;Cherniski, D.;22/08/2017;Pará, Tucuruí;;EtOH - 28
445;MPEG.ANL 000507;Cherniski, D.;03/09/2017;Pará, Marabá;;EtOH - 36
446;MPEG.ANL 000488;"Beckman, Ruana; Pena, José; Souza, Raíssa";22/01/2018;Pará, Belém;;Etanol - 2
447;MPEG.ANL 000461;"Beckman, Ruana; Pena, José; Souza, Raíssa";21/08/2017;Pará, Belém;;Etanol - 8
448;MPEG.ANL 000544;Cherniski, D.;29/08/2017;Pará, Baião;;EtOH - 10
449;MPEG.ANL 000441;"Beckman, Ruana; Pena, José; Souza, Raíssa";21/02/2018;Pará, Belém;;Etanol - 5
450;MPEG.ANL 000545;Cherniski, D.;11/01/2018;Pará, Marabá;;EtOH - 24
451;MPEG.ANL 000462;"Beckman, Ruana; Pena, José; Souza, Raíssa";29/08/2017;Pará, Belém;;Etanol - 1
452;MPEG.ANL 000417;"Beckman, Ruana; Pena, José; Souza, Raíssa";21/08/2017;Pará, Belém;;Etanol - 1
453;MPEG.ANL 000495;"Beckman, Ruana; Pena, José; Souza, Raíssa";01/09/2017;Pará, Belém;;Etanol - 1
454;MPEG.ANL 000443;"Beckman, Ruana; Pena, José; Souza, Raíssa";02/10/2017;Pará, Belém;;Etanol - 1
455;MPEG.ANL 000456;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
456;MPEG.ANL 000445;"Beckman, Ruana; Pena, José; Souza, Raíssa";11/09/2017;Pará, Belém;;Etanol - 1
457;MPEG.ANL 000438;"Beckman, Ruana; Pena, José; Souza, Raíssa";23/01/2018;Pará, Belém;;Etanol - 3
458;MPEG.ANL 000454;"Beckman, Ruana; Pena, José; Souza, Raíssa";24/01/2018;Pará, Belém;;Etanol - 2
459;MPEG.ANL 000402;"Beckman, Ruana; Pena, José; Souza, Raíssa";07/03/2018;Pará, Belém;;Etanol - 6
460;MPEG.ANL 000436;"Beckman, Ruana; Pena, José; Souza, Raíssa";23/01/2018;Pará, Belém;;Etanol - 22
461;MPEG.ANL 000481;"Beckman, Ruana; Pena, José; Souza, Raíssa";24/01/2018;Pará, Belém;;Etanol - 8
462;MPEG.ANL 000433;"Beckman, Ruana; Pena, José; Souza, Raíssa";26/01/2018;Pará, Belém;;Etanol - 9
463;MPEG.ANL 000420;"Beckman, Ruana; Pena, José; Souza, Raíssa";04/10/2017;Pará, Belém;;Etanol - 1
464;MPEG.ANL 000423;"Beckman, Ruana; Pena, José; Souza, Raíssa";21/08/2017;Pará, Belém;;Etanol - 1
465;MPEG.ANL 000429;"Beckman, Ruana; Pena, José; Souza, Raíssa";25/01/2018;Pará, Belém;;Etanol - 7
466;MPEG.ANL 000437;"Beckman, Ruana; Pena, José; Souza, Raíssa";24/01/2018;Pará, Belém;;Etanol - 42
467;MPEG.ANL 000450;"Beckman, Ruana; Pena, José; Souza, Raíssa";12/09/2017;Pará, Belém;;Etanol - 4
468;MPEG.ANL 000448;"Beckman, Ruana; Pena, José; Souza, Raíssa";23/01/2018;Pará, Belém;;Etanol - 3
469;MPEG.ANL 000484;"Beckman, Ruana; Pena, José; Souza, Raíssa";22/01/2018;Pará, Belém;;Etanol - 2
470;MPEG.ANL 000470;"Beckman, Ruana; Pena, José; Souza, Raíssa";22/01/2018;Pará, Belém;;Etanol - 15
471;MPEG.ANL 000492;"Beckman, Ruana; Pena, José; Souza, Raíssa";20/11/2017;Pará, Belém;;Etanol - 5
472;MPEG.ANL 000439;"Beckman, Ruana; Pena, José; Souza, Raíssa";20/12/2017;Pará, Belém;;Etanol - 4
473;MPEG.ANL 000435;"Beckman, Ruana; Pena, José; Souza, Raíssa";12/09/2017;Pará, Belém;;Etanol - 6
474;MPEG.ANL 000458;"Beckman, Ruana; Pena, José; Souza, Raíssa";14/09/2017;Pará, Belém;;Etanol - 5
475;MPEG.ANL 000452;"Beckman, Ruana; Pena, José; Souza, Raíssa";15/09/2017;Pará, Belém;;Etanol - 2
476;MPEG.ANL 000496;"Beckman, Ruana; Pena, José; Souza, Raíssa";20/02/2018;Pará, Belém;;Etanol - 7
477;MPEG.ANL 000427;"Beckman, Ruana; Pena, José; Souza, Raíssa";23/01/2018;Pará, Belém;;Etanol - 17
478;MPEG.ANL 000421;"Beckman, Ruana; Pena, José; Souza, Raíssa";15/09/2017;Pará, Belém;;Etanol - 1
479;MPEG.ANL 000401;"Beckman, Ruana; Pena, José; Souza, Raíssa";09/03/2018;Pará, Belém;;Etanol - 3
480;MPEG.ANL 000442;"Beckman, Ruana; Pena, José; Souza, Raíssa";19/12/2017;Pará, Belém;;Etanol - 4
481;MPEG.ANL 000419;"Beckman, Ruana; Pena, José; Souza, Raíssa";31/08/2017;Pará, Belém;;Etanol - 1
482;MPEG.ANL 000414;"Beckman, Ruana; Pena, José; Souza, Raíssa";08/03/2018;Pará, Belém;;Etanol - 2
483;MPEG.ANL 000430;"Beckman, Ruana; Pena, José; Souza, Raíssa";24/01/2018;Pará, Belém;;Etanol - 11
484;MPEG.ANL 000413;"Beckman, Ruana; Pena, José; Souza, Raíssa";08/03/2018;Pará, Belém;;Etanol - 36
485;MPEG.ANL 000400;"Beckman, Ruana; Pena, José; Souza, Raíssa";09/03/2018;Pará, Belém;;Etanol - 2
486;MPEG.ANL 000508;Cherniski, D.;03/09/2017;Pará, Marabá;;EtOH - 23
487;MPEG.ANL 000386;"Beckman, Ruana; Pena, José; Souza, Raíssa";12/09/2017;Pará, Belém;;Etanol - 1
488;MPEG.ANL 000472;"Beckman, Ruana; Pena, José; Souza, Raíssa";23/11/2017;Pará, Belém;;Etanol - 39
489;MPEG.ANL 000408;"Beckman, Ruana; Pena, José; Souza, Raíssa";08/03/2018;Pará, Belém;;Etanol - 3
490;MPEG.ANL 000403;"Beckman, Ruana; Pena, José; Souza, Raíssa";07/03/2018;Pará, Belém;;Etanol - 10
491;MPEG.ANL 000410;"Beckman, Ruana; Pena, José; Souza, Raíssa";08/03/2018;Pará, Belém;;Etanol - 2
492;MPEG.ANL 000411;"Beckman, Ruana; Pena, José; Souza, Raíssa";08/03/2018;Pará, Belém;;Etanol - 25
493;MPEG.ANL 000426;"Beckman, Ruana; Pena, José; Souza, Raíssa";24/01/2018;Pará, Belém;;Etanol - 29
494;MPEG.ANL 000451;"Beckman, Ruana; Pena, José; Souza, Raíssa";13/09/2017;Pará, Belém;;Etanol - 1
495;MPEG.ANL 000405;"Beckman, Ruana; Pena, José; Souza, Raíssa";07/03/2018;Pará, Belém;;Etanol - 11
496;MPEG.ANL 000431;"Beckman, Ruana; Pena, José; Souza, Raíssa";02/10/2017;Pará, Belém;;Etanol - 9
497;MPEG.ANL 000394;"Beckman, Ruana; Pena, José; Souza, Raíssa";06/03/2018;Pará, Belém;;Etanol - 23
498;MPEG.ANL 000449;"Beckman, Ruana; Pena, José; Souza, Raíssa";20/02/2018;Pará, Belém;;Etanol - 18
499;MPEG.ANL 000432;"Beckman, Ruana; Pena, José; Souza, Raíssa";25/01/2018;Pará, Belém;;Etanol - 9
500;MPEG.ANL 000388;"Beckman, Ruana; Pena, José; Souza, Raíssa";05/03/2018;Pará, Belém;;Etanol - 4
501;MPEG.ANL 000415;"Beckman, Ruana; Pena, José; Souza, Raíssa";08/03/2018;Pará, Belém;;Etanol - 1
502;MPEG.ANL 000412;"Beckman, Ruana; Pena, José; Souza, Raíssa";08/03/2018;Pará, Belém;;Etanol - 7
