id;catalogNumber;recordedBy;eventdate;higherGeography;eventRemarks;preparations
591;MPEG.ANL 000298;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 2
592;MPEG.ANL 000291;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
593;MPEG.ANL 000317;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
594;MPEG.ANL 000289;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
595;MPEG.ANL 000290;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 2
596;MPEG.ANL 000296;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";18/05/2015;Maranhão, Alcântara;;Etanol - 1
597;MPEG.ANL 000281;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 1
598;MPEG.ANL 000284;Sanjuan, P.;;Pará, Melgaço;;Etanol
599;MPEG.ANL 000287;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 3
600;MPEG.ANL 000299;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
601;MPEG.ANL 000278;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 1
602;MPEG.ANL 000277;"Santos, B.; , Equipe";07/02/2014;Maranhão, Mirinzal;;Etanol - 10
603;MPEG.ANL 000282;"Santos, B.; , Equipe";07/02/2014;Maranhão, Mirinzal;;Etanol - 2
604;MPEG.ANL 000285;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 4
605;MPEG.ANL 000325;"Muñoz, J.; Rousseau, Guillaume; Cabezas, R.";28/05/2014;Maranhão, Rosário;;Etanol - 1
606;MPEG.ANL 000297;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
607;MPEG.ANL 000283;;22/11/2003;Pará, Melgaço;;Etanol - 1
608;MPEG.ANL 000288;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 3
609;MPEG.ANL 000305;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
610;MPEG.ANL 000286;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo do Maranhão;;Etanol - 1
611;MPEG.ANL 000293;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
612;MPEG.ANL 000294;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
613;MPEG.ANL 000279;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 1
614;MPEG.ANL 000270;"Santos, B.; , Equipe";03/07/2014;Pará, Nova Timboteua;;Etanol - 56
615;MPEG.ANL 000251;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 1
616;MPEG.ANL 000271;"Santos, B.; , Equipe";29/05/2013;Pará, Paragominas;;Etanol - 94
617;MPEG.ANL 000264;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 1
618;MPEG.ANL 000292;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
619;MPEG.ANL 000273;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 78
620;MPEG.ANL 000266;"Santos, B.; , Equipe";21/05/2013;Maranhão, Centro Novo do Maranhão;;Etanol - 59
621;MPEG.ANL 000259;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 1
622;MPEG.ANL 000256;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 4
623;MPEG.ANL 000262;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 24
624;MPEG.ANL 000265;"Santos, B.; , Equipe";19/08/2014;Maranhão, Governador Nunes Freire;;Etanol - 18
625;MPEG.ANL 000257;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 15
626;MPEG.ANL 000252;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 3
627;MPEG.ANL 000274;"Santos, B.; , Equipe";04/08/2013;Maranhão, Bom Jardim;;Etanol - 7
628;MPEG.ANL 000253;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 1
629;MPEG.ANL 000300;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 2
630;MPEG.ANL 000272;"Santos, B.; , Equipe";05/01/2013;Pará, Tailândia;;Etanol - 39
631;MPEG.ANL 000260;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 2
632;MPEG.ANL 000280;"Santos, B.; , Equipe";19/08/2014;Maranhão, Governador Nunes Freire;;Etanol - 1
633;MPEG.ANL 000268;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 73
634;MPEG.ANL 000263;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 1
635;MPEG.ANL 000258;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 2
636;MPEG.ANL 000261;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 1
637;MPEG.ANL 000269;"Santos, B.; , Equipe";23/05/2012;Pará, Nova Ipixuna;;Etanol - 32
638;MPEG.ANL 000245;"Santos, B.; , Equipe";05/01/2013;Pará, Tailândia;;Etanol - 1
639;MPEG.ANL 000254;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 1
640;MPEG.ANL 000226;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 5
641;MPEG.ANL 000234;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 1
642;MPEG.ANL 000248;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 1
643;MPEG.ANL 000232;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 3
644;MPEG.ANL 000231;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 1
645;MPEG.ANL 000267;"Santos, B.; , Equipe";07/02/2014;Maranhão, Mirinzal;;Etanol - 15
646;MPEG.ANL 000246;"Santos, B.; , Equipe";05/01/2013;Pará, Tailândia;;Etanol - 1
647;MPEG.ANL 000237;"Santos, B.; , Equipe";03/07/2014;Pará, Nova Timboteua;;Etanol - 33
648;MPEG.ANL 000240;"Santos, B.; , Equipe";03/07/2014;Pará, Nova Timboteua;;Etanol - 3
649;MPEG.ANL 000241;"Santos, B.; , Equipe";03/07/2014;Pará, Nova Timboteua;;Etanol - 2
650;MPEG.ANL 000249;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 1
651;MPEG.ANL 000239;"Santos, B.; , Equipe";03/07/2014;Pará, Nova Timboteua;;Etanol - 1
652;MPEG.ANL 000227;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 1
653;MPEG.ANL 000228;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 2
654;MPEG.ANL 000247;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 2
655;MPEG.ANL 000275;"Santos, B.; , Equipe";19/08/2014;Maranhão, Governador Nunes Freire;;Etanol - 1
656;MPEG.ANL 000255;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 13
657;MPEG.ANL 000235;"Santos, B.; , Equipe";23/05/2012;Pará, Nova Ipixuna;;Etanol - 2
658;MPEG.ANL 000238;"Santos, B.; , Equipe";03/07/2014;Pará, Nova Timboteua;;Etanol - 1
659;MPEG.ANL 000233;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 1
660;MPEG.ANL 000236;"Santos, B.; , Equipe";23/05/2012;Pará, Nova Ipixuna;;Etanol - 2
661;MPEG.ANL 000243;"Santos, B.; , Equipe";29/05/2013;Pará, Paragominas;;Etanol - 1
662;MPEG.ANL 000229;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 2
663;MPEG.ANL 000244;"Santos, B.; , Equipe";05/01/2013;Pará, Tailândia;;Etanol - 1
664;MPEG.ANL 000220;"Santos, B.; , Equipe";21/05/2013;Maranhão, Centro Novo do Maranhão;;Etanol - 1
665;MPEG.ANL 000201;"Lavelle, P. ; , Equipe";;Pará;;Etanol - 1
666;MPEG.ANL 000221;"Santos, B.; , Equipe";04/08/2013;Maranhão, Bom Jardim;;Etanol - 1
667;MPEG.ANL 000212;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 1
668;MPEG.ANL 000209;"Lavelle, P. ; , Equipe";;Pará, Palmares;;Etanol - 2
669;MPEG.ANL 000215;"Santos, B.; , Equipe";19/08/2014;Maranhão, Governador Nunes Freire;;Etanol - 2
670;MPEG.ANL 000206;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 1
671;MPEG.ANL 000224;"Santos, B.; , Equipe";07/02/2014;Maranhão, Mirinzal;;Etanol - 1
672;MPEG.ANL 000207;"Lavelle, P. ; , Equipe";;Pará, Maçaranduba;;Etanol - 1
673;MPEG.ANL 000223;"Santos, B.; , Equipe";07/02/2014;Maranhão, Mirinzal;;Etanol - 6
674;MPEG.ANL 000214;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 1
675;MPEG.ANL 000216;"Santos, B.; , Equipe";19/08/2014;Maranhão, Governador Nunes Freire;;Etanol - 2
676;MPEG.ANL 000242;"Santos, B.; , Equipe";29/05/2013;Pará, Paragominas;;Etanol - 1
677;MPEG.ANL 000222;"Santos, B.; , Equipe";07/02/2014;Maranhão, Mirinzal;;Etanol - 3
678;MPEG.ANL 000203;"Lavelle, P. ; , Equipe";;Pará, Palmares;;Etanol - 2
679;MPEG.ANL 000213;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 1
680;MPEG.ANL 000210;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 1
681;MPEG.ANL 000202;"Lavelle, P. ; , Equipe";;Pará, Palmares;;Etanol - 1
682;MPEG.ANL 000250;"Santos, B.; , Equipe";14/08/2014;Pará, Viseu;;Etanol - 1
683;MPEG.ANL 000211;"Lavelle, P. ; , Equipe";;Pará, Maçaranduba;;Etanol - 1
684;MPEG.ANL 000208;"Lavelle, P. ; , Equipe";;Pará, Palmares;;Etanol - 1
685;MPEG.ANL 000230;"Santos, B.; , Equipe";17/04/2013;Pará, Moju;;Etanol - 1
686;MPEG.ANL 000204;"Lavelle, P. ; , Equipe";;Pará, Maçaranduba;;Etanol - 1
687;MPEG.ANL 000218;"Santos, B.; , Equipe";19/08/2014;Maranhão, Governador Nunes Freire;;Etanol - 1
688;MPEG.ANL 000195;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 1
689;MPEG.ANL 000176;"Morais, G.; Borges, A.; Monteiro, E.; Cayres, S.";29/03/2010;Pará, Curuçá;;Etanol - 1
690;MPEG.ANL 000219;"Santos, B.; , Equipe";21/05/2013;Maranhão, Centro Novo do Maranhão;;Etanol - 1
691;MPEG.ANL 000196;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 1
692;MPEG.ANL 000182;"Morais, G.; Borges, A.; Monteiro, E.; Cayres, S.";29/03/2010;Pará, Curuçá;;Etanol - 15
693;MPEG.ANL 000187;"Lavelle, P. ; , Equipe";;Pará, Maçaranduba;;Etanol - 1
694;MPEG.ANL 000190;"Lavelle, P. ; , Equipe";;Pará, Palmares;;Etanol - 1
695;MPEG.ANL 000181;"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P.";29/05/2010;Pará, Curuçá;;Etanol - 2
696;MPEG.ANL 000178;"Morais, G.; Borges, A.; Magalhães, A.M.; Galvão, J.";28/03/2010;Pará, Curuçá;;Etanol - 2
697;MPEG.ANL 000184;Teixeira, R. P.;14/06/2011;Pará;;Etanol - 1
698;MPEG.ANL 000199;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 1
699;MPEG.ANL 000189;"Lavelle, P. ; , Equipe";;Pará, Maçaranduba;;Etanol - 1
700;MPEG.ANL 000183;"Morais, G.; Borges, A.; Magalhães, A.M.; Galvão, J.";28/03/2010;Pará, Curuçá;;Etanol - 1
701;MPEG.ANL 000177;"Morais, G.; Borges, A.; Monteiro, E.; Galvão, J.";29/03/2010;Pará, Curuçá;;Etanol - 2
702;MPEG.ANL 000225;"Santos, B.; , Equipe";07/02/2014;Maranhão, Mirinzal;;Etanol - 13
703;MPEG.ANL 000186;"Lavelle, P. ; , Equipe";;Pará, Maçaranduba;;Etanol - 3
704;MPEG.ANL 000197;"Lavelle, P. ; , Equipe";;Pará, Maçaranduba;;Etanol - 1
705;MPEG.ANL 000198;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 3
706;MPEG.ANL 000217;"Santos, B.; , Equipe";19/08/2014;Maranhão, Governador Nunes Freire;;Etanol - 9
707;MPEG.ANL 000191;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 1
708;MPEG.ANL 000185;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 1
709;MPEG.ANL 000179;"Morais, G.; Borges, A.; Monteiro, E.; Galvão, J.";29/03/2010;Pará, Curuçá;;Etanol - 2
710;MPEG.ANL 000188;"Lavelle, P. ; , Equipe";;Pará, Maçaranduba;;Etanol - 1
711;MPEG.ANL 000193;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 1
712;MPEG.ANL 000205;"Lavelle, P. ; , Equipe";;Pará, Palmares;;Etanol - 1
713;MPEG.ANL 000194;"Lavelle, P. ; , Equipe";;Pará, Maçaranduba;;Etanol - 4
714;MPEG.ANL 000151;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
715;MPEG.ANL 000170;"Morais, G.; Borges, A.; Monteiro, E.; Galvão, J.";29/03/2010;Pará, Curuçá;;Etanol - 1
716;MPEG.ANL 000192;"Lavelle, P. ; , Equipe";;Pará, Palmares;;Etanol - 1
717;MPEG.ANL 000180;"Morais, G.; Borges, A.; Lobato, Cléo; Bastos, R.";20/08/2009;Pará, Curuçá;;Etanol - 9
718;MPEG.ANL 000159;"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P.";29/05/2010;Pará, Curuçá;;Etanol - 2
719;MPEG.ANL 000165;"Morais, G.; Borges, A.; Magalhães, A.M.; Galvão, J.";28/03/2010;Pará, Curuçá;;Etanol - 33
720;MPEG.ANL 000166;"Morais, G.; Borges, A.; Monteiro, E.; Cayres, S.";29/03/2010;Pará, Curuçá;;Etanol - 27
721;MPEG.ANL 000200;"Lavelle, P. ; , Equipe";;Pará, Pacajá;;Etanol - 2
722;MPEG.ANL 000174;"Morais, G.; Borges, A.; Magalhães, A.M.; Cayres, S.";28/03/2010;Pará, Curuçá;;Etanol - 213
723;MPEG.ANL 000172;"Morais, G.; Borges, A.; Monteiro, E.; Cayres, S.";29/03/2010;Pará, Curuçá;;Etanol - 2
724;MPEG.ANL 000161;"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P.";29/05/2010;Pará, Curuçá;;Etanol - 1
725;MPEG.ANL 000154;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
726;MPEG.ANL 000164;"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P.";29/05/2010;Pará, Curuçá;;Etanol - 2
727;MPEG.ANL 000171;"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P.";29/05/2010;Pará, Curuçá;;Etanol - 1
728;MPEG.ANL 000156;"Decaëns,  T.;  Lopes, A. M.";28/04/2011;Pará, Melgaço;;Etanol - 20
729;MPEG.ANL 000157;Decaëns,  T.;03/05/2011;Pará, Belém;;Etanol - 26
730;MPEG.ANL 000152;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
731;MPEG.ANL 000173;"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P.";29/05/2010;Pará, Curuçá;;Etanol - 44
732;MPEG.ANL 000158;"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P.";29/05/2010;Pará, Curuçá;;Etanol - 7
733;MPEG.ANL 000162;"Morais, G.; Borges, A.; Magalhães, A.M.; Cayres, S.";28/03/2010;Pará, Curuçá;;Etanol - 1
734;MPEG.ANL 000153;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
735;MPEG.ANL 000160;"Morais, G.; Borges, A.; Lobato, C.; Bastos, R.";22/08/2009;Pará, Curuçá;;Etanol - 1
736;MPEG.ANL 000169;"Morais, G.; Borges, A.; Monteiro, E.; Cayres, S.";29/03/2010;Pará, Curuçá;;Etanol - 1
737;MPEG.ANL 000163;"Morais, G.; Borges, A.; Magalhães, A.M.; Galvão, J.";29/03/2010;Pará, Curuçá;;Etanol - 12
738;MPEG.ANL 000168;"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P.";29/05/2010;Pará, Curuçá;;Etanol - 12
739;MPEG.ANL 000167;"Morais, G.; Borges, A.; Magalhães, A.M.; Cayres, S.";28/03/2010;Pará, Curuçá;;Etanol - 46
740;MPEG.ANL 000145;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
741;MPEG.ANL 000126;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
742;MPEG.ANL 000155;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
743;MPEG.ANL 000175;"Morais, G.; Borges, A.; Magalhães, A.M.; Galvão, J.";28/03/2010;Pará, Curuçá;;Etanol - 2
744;MPEG.ANL 000147;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
745;MPEG.ANL 000149;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
746;MPEG.ANL 000140;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
747;MPEG.ANL 000141;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
748;MPEG.ANL 000134;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
749;MPEG.ANL 000146;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
750;MPEG.ANL 000136;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
751;MPEG.ANL 000129;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
752;MPEG.ANL 000139;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
753;MPEG.ANL 000132;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
754;MPEG.ANL 000131;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
755;MPEG.ANL 000137;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
756;MPEG.ANL 000127;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
757;MPEG.ANL 000135;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
758;MPEG.ANL 000133;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
759;MPEG.ANL 000148;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
760;MPEG.ANL 000128;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
761;MPEG.ANL 000144;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
762;MPEG.ANL 000150;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
763;MPEG.ANL 000138;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
764;MPEG.ANL 000142;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
765;MPEG.ANL 000143;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
766;MPEG.ANL 000130;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
767;MPEG.ANL 000124;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
768;MPEG.ANL 000116;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
769;MPEG.ANL 000120;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
770;MPEG.ANL 000101;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
771;MPEG.ANL 000115;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
772;MPEG.ANL 000122;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
773;MPEG.ANL 000111;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
774;MPEG.ANL 000104;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
775;MPEG.ANL 000109;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
776;MPEG.ANL 000121;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
777;MPEG.ANL 000114;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
778;MPEG.ANL 000107;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
779;MPEG.ANL 000106;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
780;MPEG.ANL 000110;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
781;MPEG.ANL 000123;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
782;MPEG.ANL 000108;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
783;MPEG.ANL 000102;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
784;MPEG.ANL 000112;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
785;MPEG.ANL 000103;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
786;MPEG.ANL 000119;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
787;MPEG.ANL 000117;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
788;MPEG.ANL 000125;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
789;MPEG.ANL 000113;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
790;MPEG.ANL 000105;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
791;MPEG.ANL 000118;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
792;MPEG.ANL 000099;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
793;MPEG.ANL 000076;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
794;MPEG.ANL 000095;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
795;MPEG.ANL 000090;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
796;MPEG.ANL 000079;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
797;MPEG.ANL 000084;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
798;MPEG.ANL 000091;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
799;MPEG.ANL 000086;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
800;MPEG.ANL 000097;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
801;MPEG.ANL 000096;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
802;MPEG.ANL 000089;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
803;MPEG.ANL 000098;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
804;MPEG.ANL 000082;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
805;MPEG.ANL 000077;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
806;MPEG.ANL 000085;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
807;MPEG.ANL 000081;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
808;MPEG.ANL 000083;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
809;MPEG.ANL 000087;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
810;MPEG.ANL 000078;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
811;MPEG.ANL 000094;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
812;MPEG.ANL 000100;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
813;MPEG.ANL 000092;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
814;MPEG.ANL 000088;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
815;MPEG.ANL 000093;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
816;MPEG.ANL 000080;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
817;MPEG.ANL 000054;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Parauabepas;;Etanol - 2
818;MPEG.ANL 000070;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
