id;taxonRank;taxonomicStatus;publishingCountry;hasCoordinate;hasGeospatialIssues
486;CLASS;SYNONYM;BR;TRUE;FALSE
487;ORDER;DOUBTFUL;BR;TRUE;FALSE
488;ORDER;DOUBTFUL;BR;TRUE;FALSE
489;ORDER;DOUBTFUL;BR;TRUE;FALSE
490;ORDER;DOUBTFUL;BR;TRUE;FALSE
491;ORDER;DOUBTFUL;BR;TRUE;FALSE
492;ORDER;DOUBTFUL;BR;TRUE;FALSE
493;ORDER;DOUBTFUL;BR;TRUE;FALSE
494;ORDER;DOUBTFUL;BR;TRUE;FALSE
495;ORDER;DOUBTFUL;BR;TRUE;FALSE
496;ORDER;DOUBTFUL;BR;TRUE;FALSE
497;ORDER;DOUBTFUL;BR;TRUE;FALSE
498;ORDER;DOUBTFUL;BR;TRUE;FALSE
499;ORDER;DOUBTFUL;BR;TRUE;FALSE
500;ORDER;DOUBTFUL;BR;TRUE;FALSE
501;ORDER;DOUBTFUL;BR;TRUE;FALSE
502;ORDER;DOUBTFUL;BR;TRUE;FALSE
503;ORDER;DOUBTFUL;BR;TRUE;FALSE
504;ORDER;DOUBTFUL;BR;TRUE;FALSE
505;ORDER;DOUBTFUL;BR;TRUE;FALSE
506;CLASS;ACCEPTED;BR;FALSE;FALSE
507;ORDER;DOUBTFUL;BR;TRUE;FALSE
508;ORDER;DOUBTFUL;BR;TRUE;FALSE
509;ORDER;DOUBTFUL;BR;TRUE;FALSE
510;ORDER;DOUBTFUL;BR;TRUE;FALSE
511;ORDER;DOUBTFUL;BR;TRUE;FALSE
512;ORDER;DOUBTFUL;BR;TRUE;FALSE
513;ORDER;DOUBTFUL;BR;TRUE;FALSE
514;ORDER;DOUBTFUL;BR;TRUE;FALSE
515;ORDER;DOUBTFUL;BR;TRUE;FALSE
516;ORDER;DOUBTFUL;BR;TRUE;FALSE
517;ORDER;DOUBTFUL;BR;TRUE;FALSE
518;ORDER;DOUBTFUL;BR;TRUE;FALSE
519;ORDER;DOUBTFUL;BR;TRUE;FALSE
520;ORDER;DOUBTFUL;BR;TRUE;FALSE
521;ORDER;DOUBTFUL;BR;TRUE;FALSE
522;ORDER;DOUBTFUL;BR;TRUE;FALSE
523;ORDER;DOUBTFUL;BR;TRUE;FALSE
524;CLASS;SYNONYM;BR;FALSE;FALSE
525;ORDER;DOUBTFUL;BR;TRUE;FALSE
526;ORDER;DOUBTFUL;BR;TRUE;FALSE
