id;taxonRank;taxonomicStatus;publishingCountry;hasCoordinate;hasGeospatialIssues
868;SPECIES;ACCEPTED;BR;TRUE;FALSE
869;SPECIES;ACCEPTED;BR;TRUE;FALSE
870;SPECIES;ACCEPTED;BR;TRUE;FALSE
871;SPECIES;ACCEPTED;BR;TRUE;FALSE
872;SPECIES;ACCEPTED;BR;TRUE;FALSE
873;SPECIES;ACCEPTED;BR;TRUE;FALSE
874;SPECIES;ACCEPTED;BR;TRUE;FALSE
875;SPECIES;ACCEPTED;BR;TRUE;FALSE
876;SPECIES;ACCEPTED;BR;TRUE;FALSE
877;SPECIES;ACCEPTED;BR;TRUE;FALSE
878;SPECIES;ACCEPTED;BR;TRUE;FALSE
879;SPECIES;ACCEPTED;BR;TRUE;FALSE
880;SPECIES;ACCEPTED;BR;TRUE;FALSE
881;SPECIES;ACCEPTED;BR;TRUE;FALSE
882;SPECIES;ACCEPTED;BR;TRUE;FALSE
883;SPECIES;ACCEPTED;BR;TRUE;FALSE
884;SPECIES;ACCEPTED;BR;TRUE;FALSE
885;SPECIES;ACCEPTED;BR;TRUE;FALSE
886;SPECIES;ACCEPTED;BR;TRUE;FALSE
887;SPECIES;ACCEPTED;BR;TRUE;FALSE
888;SPECIES;ACCEPTED;BR;TRUE;FALSE
889;SPECIES;ACCEPTED;BR;TRUE;FALSE
890;SPECIES;ACCEPTED;BR;TRUE;FALSE
891;SPECIES;ACCEPTED;BR;TRUE;FALSE
