id;occurrenceID;catalogNumber;recordedBy;preparations;date;year;month;day;eventRemarks;higherGeography;continent;countryCode;stateProvince;county;locality;decimalLatitude;decimalLongitude;typeStatus;scientificName;kingdom;phylum;class;order;family;genus;genericName;specificEpithet;infraspecificEpithet;taxonRank;taxonomicStatus;publishingCountry;lastInterpreted;hasCoordinate;hasGeospatialIssues;taxonKey;acceptedTaxonKey;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;species;acceptedScientificName;verbatimScientificName;repatriated;level0Gid;level0Name;level1Gid;level1Name;level2Gid;level2Name;iucnRedListCategory
495;MPEG.ANL 000405;MPEG.ANL 000405;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 11;07/03/2018;2018;3;7;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
496;MPEG.ANL 000431;MPEG.ANL 000431;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 9;02/10/2017;2017;10;2;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
497;MPEG.ANL 000394;MPEG.ANL 000394;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 23;06/03/2018;2018;3;6;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
498;MPEG.ANL 000449;MPEG.ANL 000449;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 18;20/02/2018;2018;2;20;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.953Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
499;MPEG.ANL 000432;MPEG.ANL 000432;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 9;25/01/2018;2018;1;25;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
500;MPEG.ANL 000388;MPEG.ANL 000388;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 4;05/03/2018;2018;3;5;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
501;MPEG.ANL 000415;MPEG.ANL 000415;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 1;08/03/2018;2018;3;8;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
502;MPEG.ANL 000412;MPEG.ANL 000412;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 7;08/03/2018;2018;3;8;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
503;MPEG.ANL 000396;MPEG.ANL 000396;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 3;09/03/2018;2018;3;9;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
504;MPEG.ANL 000422;MPEG.ANL 000422;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 1;14/09/2017;2017;9;14;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
505;MPEG.ANL 000399;MPEG.ANL 000399;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 28;09/03/2018;2018;3;9;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.940Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
506;MPEG.ANL 000502;MPEG.ANL 000502;Brogim, Rosemary;EtOH - 4;;;;;Coleta na Sede da Caramuru Alimentos S.A.;Pará, Itaituba;SOUTH_AMERICA;BR;Pará;Itaituba;Rio Tapajós;;;;Clitellata;Animalia;Annelida;Clitellata;;;;Clitellata;;;CLASS;ACCEPTED;BR;2023-09-07T09:19:05.940Z;FALSE;FALSE;255;255;1;42;255;;;;;;Clitellata;Clitellata;FALSE;;;;;;;NE
507;MPEG.ANL 000407;MPEG.ANL 000407;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 54;07/03/2018;2018;3;7;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
508;MPEG.ANL 000446;MPEG.ANL 000446;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 2;24/01/2018;2018;1;24;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.953Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
509;MPEG.ANL 000397;MPEG.ANL 000397;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 6;09/03/2018;2018;3;9;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.940Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
510;MPEG.ANL 000406;MPEG.ANL 000406;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 2;07/03/2018;2018;3;7;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
511;MPEG.ANL 000389;MPEG.ANL 000389;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 1;05/03/2018;2018;3;5;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
512;MPEG.ANL 000398;MPEG.ANL 000398;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 2;09/03/2018;2018;3;9;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.940Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
513;MPEG.ANL 000392;MPEG.ANL 000392;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 2;05/03/2018;2018;3;5;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
514;MPEG.ANL 000425;MPEG.ANL 000425;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 32;24/01/2018;2018;1;24;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
515;MPEG.ANL 000391;MPEG.ANL 000391;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 5;05/03/2018;2018;3;5;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
516;MPEG.ANL 000416;MPEG.ANL 000416;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 3;08/03/2018;2018;3;8;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.947Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
517;MPEG.ANL 000434;MPEG.ANL 000434;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 42;26/01/2018;2018;1;26;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
