id;specimentype;species;scientificName;verbatimScientificName;sp_kingdom;sp_phylum;sp_class;sp_order;sp_family;sp_genus;genericName;specificEpithet;infraspecificEpithet;iucnRedListCategory
506;;;Clitellata;Clitellata;Animalia;Annelida;Clitellata;;;;Clitellata;;;NE
507;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
508;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
509;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
510;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
511;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
512;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
513;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
514;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
515;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
