id;specimentype;species;scientificName;verbatimScientificName;sp_kingdom;sp_phylum;sp_class;sp_order;sp_family;sp_genus;genericName;specificEpithet;infraspecificEpithet;iucnRedListCategory
326;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
327;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
328;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
329;;;Pontoscolex;Pontoscolex Corethrurus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
330;PARATYPE;;Pontoscolex;Pontoscolex Awa;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;;;
331;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
332;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
333;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
334;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
335;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
336;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
337;;;Terebellidae;Terebellidae;Animalia;Annelida;Polychaeta;;Terebellidae;;Terebellidae;;;
338;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
339;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
340;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
341;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
342;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
343;;;Clitellata;Hirudinea;Animalia;Annelida;Clitellata;;;;Clitellata;;;NE
344;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
345;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
