id;continent;countryCode;stateProvince;county;locality;decimalLatitude;decimalLongitude
705;SOUTH_AMERICA;BR;Pará;Pacajá;indeterminado;-3.705833;-51.035
706;SOUTH_AMERICA;BR;Maranhão;Governador Nunes Freire;Fazenda 7 irmãos;-1.861019;-45.747219
707;SOUTH_AMERICA;BR;Pará;Pacajá;Lote Egmar;-3.705833;-51.035
708;SOUTH_AMERICA;BR;Pará;Pacajá;Lote Groselha;-3.705833;-51.035
709;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
710;SOUTH_AMERICA;BR;Pará;Maçaranduba;inderterminado;-4.806111;-49.317778
711;SOUTH_AMERICA;BR;Pará;Pacajá;indeterminado;-3.705833;-51.035
712;SOUTH_AMERICA;BR;Pará;Palmares;indeterminado;-5.849722;-49.865556
713;SOUTH_AMERICA;BR;Pará;Maçaranduba;indeterminado;-4.806111;-49.317778
714;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
715;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
716;SOUTH_AMERICA;BR;Pará;Palmares;Lote Mearin;-5.849722;-49.865556
717;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
718;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
719;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
720;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
721;SOUTH_AMERICA;BR;Pará;Pacajá;indeterminado;-3.705833;-51.035
722;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
723;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
724;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
725;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
726;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
727;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
728;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
729;SOUTH_AMERICA;BR;Pará;Belém;MPEG Campus de pesquisa;-1.450889;-48.443944
730;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
731;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
732;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
733;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
734;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
735;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
736;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
737;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
738;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
739;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
740;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
741;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
742;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
743;SOUTH_AMERICA;BR;Pará;Curuçá;Ilha de Areuá - estuário do Rio Curuçá;-0.586119;-47.846192
744;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
745;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
746;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
747;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
748;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
749;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
750;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
751;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
752;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
753;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
754;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
755;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
756;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
757;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
758;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
759;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
760;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
761;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
762;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
763;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
764;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
765;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
766;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
767;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
768;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
769;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
770;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
771;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
772;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
773;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
774;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
775;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
776;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
777;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
778;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
779;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
780;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
781;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
782;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
783;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
784;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
785;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
786;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
787;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
788;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
